smiles,permeability_CO2,selectivity_CO2_CH4
Cc1cc2c(cc1C)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,2300.0,18.4
N#C[cH3]1c2c([cH3](C#N)c3c1Oc1ccccc1O3)[CH3]c1cc(C(=C(c3[c-]cccc3)[c:3]3[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]3)c3[c-]cccc3)ccc1[CH3]2,862.0,21.024390243902438
C[c:15]1[cH:14][c:8]2[c:7]([cH:17][c:16]1C)-[c:5]1[c:4]([cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6]1)[C@@:9]21c2cc3c(cc2-[c:12]2[c:13]1[cH:18][c:19](C)[c:20](C)[cH:21]2)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,8850.0,16.63533834586466
C#c1c(#C)[cH:17][c:7]2[c:8]([cH:14]1)[C@:9]1(c3cc4c(cc3-[c:12]3[c:13]1[cH:18]c(#C)c(#C)[cH:21]3)[CH3]c1c([cH3](C#N)c3c([cH3]1C#N)Oc1ccccc1O3)[CH3]4)[c:4]1[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6][c:5]1-2,22300.0,11.03960396039604
C#c1c(#C)[cH:17][c:7]2[c:8]([cH:14]1)[C@:9]1(c3cc4c(cc3-[c:12]3[c:13]1[cH:18][c:19](C)[c:20](C)[cH:21]3)[CH3]c1c([cH3](C#N)c3c([cH3]1C#N)Oc1ccccc1O3)[CH3]4)[c:4]1[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6][c:5]1-2,10900.0,12.414578587699317
C#c1[c:15](C)[cH:14][c:8]2[c:7]([cH:17]1)-[c:5]1[c:4]([cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6]1)[C@@:9]21c2cc3c(cc2-[c:12]2[c:13]1[cH:18][c:19](C)c(#C)[cH:21]2)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,10600.0,12.709832134292565
CC(C)(C)c1[c:15](C)[cH:14][c:8]2[c:7]([cH:17]1)-[c:5]1[c:4]([cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6]1)[C@@:9]21c2cc3c(cc2-[c:12]2[c:13]1[cH:18][c:19](C)c(C(C)(C)C)[cH:21]2)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,16400.0,6.612903225806452
CC1(C)CCC(C)(C)c2cc3c(cc21)-c1cc2c(cc1[C@:9]31c3cc4c(cc3-[c:5]3[c:4]1[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6]3)C(C)(C)CCC4(C)C)[CH3]c1c([cH3](C#N)c3c([cH3]1C#N)Oc1ccccc1O3)[CH3]2,17500.0,8.333333333333334
Cc1cc2c(c(C)c1C)C(C)(C)C[CH3]21C[CH3](C)(C)c2cc3c(c(C)c21)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,18900.0,14.427480916030534
N#C[cH3]1c2c([cH3](C#N)c3c1Oc1ccccc1O3)[CH3]c1cc(-[c:9]3[c:1](-[c:2]4[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]4)[c:1](-[c:2]4[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]4)c(-[cH3]4[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]4)[c:6](-[c:5]4[cH:4][cH:3][c:2]([CH3:1])[cH:8][cH:7]4)[c:6]3-[c:5]3[cH:4][cH:3][c:2]([CH3:1])[cH:8][cH:7]3)ccc1[CH3]2,3800.0,10.526315789473685
N#C[cH3]1c2c([cH3](C#N)c3c1Oc1ccccc1O3)[CH3]c1cc(-[c:9]3[c:1](-[c:2]4[cH:3][cH:4]c(Br)[cH:7][cH:8]4)[c:1](-[c:2]4[cH:3][cH:4]c(Br)[cH:7][cH:8]4)c(-[cH3]4[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]4)[c:6](-[c:5]4[cH:4][cH:3]c(Br)[cH:8][cH:7]4)[c:6]3-[c:5]3[cH:4][cH:3]c(Br)[cH:8][cH:7]3)ccc1[CH3]2,2130.0,12.033898305084746
