smiles,permeability_O2,selectivity_O2_N2
Cc1cc2c(cc1C)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,370.0,4.021739130434782
N#C[cH3]1c2c([cH3](C#N)c3c1Oc1ccccc1O3)[CH3]c1cc(C(=C(c3[c-]cccc3)[c:3]3[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]3)c3[c-]cccc3)ccc1[CH3]2,138.0,4.131736526946108
C[c:15]1[cH:14][c:8]2[c:7]([cH:17][c:16]1C)-[c:5]1[c:4]([cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6]1)[C@@:9]21c2cc3c(cc2-[c:12]2[c:13]1[cH:18][c:19](C)[c:20](C)[cH:21]2)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,1420.0,4.176470588235294
C#c1c(#C)[cH:17][c:7]2[c:8]([cH:14]1)[C@:9]1(c3cc4c(cc3-[c:12]3[c:13]1[cH:18]c(#C)c(#C)[cH:21]3)[CH3]c1c([cH3](C#N)c3c([cH3]1C#N)Oc1ccccc1O3)[CH3]4)[c:4]1[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6][c:5]1-2,3820.0,3.3217391304347825
C#c1c(#C)[cH:17][c:7]2[c:8]([cH:14]1)[C@:9]1(c3cc4c(cc3-[c:12]3[c:13]1[cH:18][c:19](C)[c:20](C)[cH:21]3)[CH3]c1c([cH3](C#N)c3c([cH3]1C#N)Oc1ccccc1O3)[CH3]4)[c:4]1[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6][c:5]1-2,1820.0,3.9308855291576674
C#c1[c:15](C)[cH:14][c:8]2[c:7]([cH:17]1)-[c:5]1[c:4]([cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6]1)[C@@:9]21c2cc3c(cc2-[c:12]2[c:13]1[cH:18][c:19](C)c(#C)[cH:21]2)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,1760.0,3.7130801687763713
CC(C)(C)c1[c:15](C)[cH:14][c:8]2[c:7]([cH:17]1)-[c:5]1[c:4]([cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6]1)[C@@:9]21c2cc3c(cc2-[c:12]2[c:13]1[cH:18][c:19](C)c(C(C)(C)C)[cH:21]2)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,2750.0,2.5462962962962963
CC1(C)CCC(C)(C)c2cc3c(cc21)-c1cc2c(cc1[C@:9]31c3cc4c(cc3-[c:5]3[c:4]1[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6]3)C(C)(C)CCC4(C)C)[CH3]c1c([cH3](C#N)c3c([cH3]1C#N)Oc1ccccc1O3)[CH3]2,3200.0,2.962962962962963
Cc1cc2c(c(C)c1C)C(C)(C)C[CH3]21C[CH3](C)(C)c2cc3c(c(C)c21)[CH3]c1c([cH3](C#N)c2c([cH3]1C#N)Oc1ccccc1O2)[CH3]3,3410.0,3.479591836734694
N#C[cH3]1c2c([cH3](C#N)c3c1Oc1ccccc1O3)[CH3]c1cc(-[c:9]3[c:1](-[c:2]4[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]4)[c:1](-[c:2]4[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]4)c(-[cH3]4[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]4)[c:6](-[c:5]4[cH:4][cH:3][c:2]([CH3:1])[cH:8][cH:7]4)[c:6]3-[c:5]3[cH:4][cH:3][c:2]([CH3:1])[cH:8][cH:7]3)ccc1[CH3]2,534.0,2.8105263157894735
